listone_id,nome,ruolo,squadra,presenze,media_voto,media_fantavoto,gol_fatti,gol_subiti,rigori_segnati,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni
2764,Martinez L.,A,Inter,36.21,6.49,8.28,22.09,0.00,1.49,2.00,0.00,7.30,2.03,0.05
5585,Malen,A,Roma,38.00,6.50,8.28,24.78,0.00,2.91,4.19,0.00,5.34,1.89,0.06
4871,Thuram,A,Inter,30.05,6.38,7.78,11.37,0.00,0.68,0.93,0.00,5.34,2.18,0.05
6052,Hojlund,A,Napoli,30.56,6.33,7.70,11.83,0.00,1.18,1.51,0.00,4.30,2.17,0.06
6397,Ramos G.,A,Milan,31.16,6.32,7.69,13.65,0.00,0.34,0.63,0.00,3.15,0.97,0.07
5951,Kolo Muani,A,Juventus,32.87,6.28,7.58,12.47,0.00,0.90,1.31,0.00,3.34,1.67,0.07
2097,Kean,A,Fiorentina,33.34,6.20,7.42,12.27,0.00,1.51,2.01,0.00,2.47,3.14,0.10
6434,Yildiz,A,Juventus,30.23,6.26,7.34,8.36,0.00,0.87,1.26,0.00,3.91,2.12,0.06
7017,Douvikas,A,Como,28.23,6.15,7.14,7.58,0.00,0.48,0.78,0.00,2.30,1.24,0.09
2137,Scamacca,A,Atalanta,25.18,6.13,7.03,5.99,0.00,0.55,0.77,0.00,2.07,1.87,0.08
5637,Davis K.,A,Udinese,28.77,6.14,7.01,6.48,0.00,0.90,1.10,0.00,2.35,2.99,0.09
531,Berardi,A,Sassuolo,30.34,6.10,6.96,7.48,0.00,0.82,1.33,0.00,1.95,2.41,0.07
4510,Leao,A,Milan,25.68,6.08,6.95,6.43,0.00,0.46,0.73,0.00,2.41,1.45,0.09
6435,Krstovic,A,Atalanta,24.70,6.10,6.90,5.17,0.00,0.32,0.48,0.00,2.48,2.37,0.08
5995,De Ketelaere,A,Atalanta,23.89,6.09,6.82,5.44,0.00,0.29,0.47,0.00,2.25,1.99,0.08
6675,Dovbyk,A,Bologna,28.07,6.04,6.79,6.73,0.00,0.37,0.65,0.00,1.76,1.39,0.12
2061,Simeone,A,Torino,28.15,6.02,6.76,6.02,0.00,0.45,0.75,0.00,1.35,1.76,0.14
7071,Esposito F.P.,A,Inter,21.56,6.08,6.75,4.11,0.00,0.14,0.23,0.00,2.16,1.44,0.06
7547,Kevin Carlos,A,Cagliari,26.36,6.02,6.73,5.61,0.00,0.30,0.52,0.00,1.10,1.14,0.14
6060,Laurientè,A,Sassuolo,26.97,6.04,6.71,5.09,0.00,0.33,0.50,0.00,2.07,3.14,0.11
7351,Santos A.,A,Napoli,22.69,6.05,6.70,4.71,0.00,0.34,0.55,0.00,1.65,1.13,0.10
309,Dybala,A,Roma,25.49,6.04,6.68,5.43,0.00,0.25,0.51,0.00,2.46,1.00,0.10
7023,Pellegrino M.,A,Fiorentina,25.68,6.00,6.67,4.96,0.00,0.41,0.62,0.00,1.35,2.81,0.12
7484,Adams A.,A,Venezia,23.15,6.01,6.66,4.34,0.00,0.20,0.39,0.00,1.21,0.68,0.12
4371,Raspadori,A,Atalanta,21.94,5.99,6.59,4.49,0.00,0.22,0.40,0.00,1.44,1.08,0.10
